Model,MAE,RMSE,R2
Linear Regression - Baseline,110409.67027975412,228834.95926064433,0.8624826809683871
Linear Regression - Extended,110484.16899235477,228551.39781129817,0.8628232797150394
Random Forest - Baseline,122067.09128453305,257389.2994930583,0.8260222830110759
Random Forest - Extended,129582.56296135925,274702.56348391436,0.8018299239078239
